airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Bangalore,Business,9.92,46,52522
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Bangalore,Business,9.92,49,52522
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Bangalore,Economy,9.92,46,5842
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Bangalore,Economy,9.92,49,6045
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,7,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,14,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,21,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,28,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,35,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,42,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,45,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,46,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,47,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,48,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,49,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,4,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,8,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,11,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,15,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,18,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,22,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,25,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,29,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,32,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,36,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,39,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,12.83,43,47657
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,7,11520
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,14,11940
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,21,7360
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,28,6414
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,35,4945
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,42,4839
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,45,5260
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,46,5260
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,47,4945
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,48,5260
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,10.25,49,5575
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,12.83,1,17715
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,12.83,4,14880
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,12.83,8,11520
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,12.83,11,11520
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Economy,12.83,15,8029
